name,country,lat,lon,population,pga,wtd,tws_cm_yr,reversal,dP,dP_lo,dP_hi,p_two,ci_excl0,fdr_sig,population_input,elev_m,pga_475_g,seismic,vs30,precip,wtd_input,dw_km,pgv,recent_trend_cm_yr,recent_se_cm_yr,recent_gws_cm_yr,full_trend_cm_yr,full_gws_cm_yr,recent_sm_cm_yr,full_sm_cm_yr,P0,is_material_hotspot,direction,recent_cumulative_dTWS_cm,recent_cumulative_water_table_rise_m_sy010,annualized_dP_per_year,csr_grid_ix,csr_grid_iy,csr_grid_lon,csr_grid_lat,csr_grid_cell_id,distance_to_coast_km,coastal_lt25km,coastal_lt50km,coastal_lt100km,metro_cluster_50km,grace_scale_cluster_300km,city_by_fdr_sig
Yokohama,JP,35.43333,139.65,3777491,0.6621291,2.6398107881285,1.5877,False,0.0131823600667306,0.0052217653273863,0.0218943302879452,0.0,True,True,3777491,21,0.6621291,True,246.6999969482422,1671.0,2.6398107881285,1.834036104265288,66.21291000000001,1.5877,0.1807,1.6127,0.5728,0.6446,-0.025,-0.0718,0.5189420934283357,True,material increase,15.876999999999999,1.5877,0.00131823600667306,558,501,139.625,35.375,iy501_ix558,1.8340361042652882,True,True,True,1,1,True
Bhayandar,IN,19.30157,72.85107,809378,0.1212539,2.9297322041657594,1.4173,False,0.0117697302764608,0.0038161602561318,0.0205713226468663,0.0,True,True,809378,9,0.1212539,True,243.01022338867188,2495.0,2.9297322041657594,2.301836643909409,12.12539,1.4173,0.35,0.6962,0.3283,0.134,0.7211,0.1943,0.469437365737197,True,material increase,14.173,1.4172999999999998,0.0011769730276460799,291,437,72.875,19.375,iy437_ix291,2.301836643909409,True,True,True,2,2,True
Mumbai,IN,19.07283,72.88261,12691836,0.120297400125448,1.8768596932936816,1.4173,False,0.0108165938122896,0.0035724974761384,0.0143549539997001,0.0,True,True,12691836,8,0.120297400125448,True,232.39059448242188,2274.0,1.8768596932936816,4.7052142468930125,12.0297400125448,1.4173,0.35,0.6962,0.3283,0.134,0.7211,0.1943,0.35036063504717974,True,material increase,14.173,1.4172999999999998,0.0010816593812289599,291,436,72.875,19.125,iy436_ix291,4.7052142468930125,True,True,True,2,2,True
Dar es Salaam,TZ,-6.82349,39.26951,5383728,0.109765000000553,8.361943999389666,1.5505,False,0.0099400650158641,0.0038461988486549,0.0167379941406086,0.0,True,True,5383728,24,0.109765000000553,True,261.65869140625,1066.0,8.361943999389666,1.4221015900347755,10.9765000000553,1.5505,0.2144,1.2835,0.5172,0.0571,0.267,0.4601,0.2553153425850038,False,sub-material increase,15.504999999999999,1.5504999999999998,0.00099400650158641,157,332,39.375,-6.875,iy332_ix157,1.4221015900347755,True,True,True,3,3,True
Surat,IN,21.19594,72.83023,4591246,0.09830952,8.25513084611282,1.4158,False,0.0096221809737705,0.0028024831768068,0.0167540588840118,0.0009999999999998,True,True,4591246,20,0.09830952,True,225.83724975585935,1070.0,8.25513084611282,2.0088310183989053,9.830952,1.4158,0.398,0.3736,0.3929,0.3804,1.0422,0.0125,0.2809631242668905,False,sub-material increase,14.158,1.4157999999999997,0.0009622180973770499,291,444,72.875,21.125,iy444_ix291,7.635069984909337,True,True,True,4,2,True
Nashik,IN,19.99727,73.79096,1486053,0.07369488,4.516670481422182,2.633,False,0.009150408807873,0.0033004692981796,0.0160788281462742,0.0,True,True,1486053,584,0.07369488,True,408.8996276855469,1330.0,4.516670481422182,2.7022359147238024,7.369488,2.633,0.4487,1.8068,0.7046,0.2505,0.8262,0.4541,0.11386043759947732,False,sub-material increase,26.33,2.6329999999999996,0.0009150408807873,295,439,73.875,19.875,iy439_ix295,108.51776551336009,False,False,False,5,2,True
Bhiwandi,IN,19.30023,73.05881,874032,0.125094701840259,3.2349126420996868,1.4173,False,0.0086312201636333,0.0028146479064968,0.0156682008848642,0.0,True,True,874032,9,0.125094701840259,True,325.197265625,2807.0,3.2349126420996868,5.510253283387274,12.5094701840259,1.4173,0.35,0.6714,0.3283,0.1536,0.7459,0.1747,0.23663864969112508,False,sub-material increase,14.173,1.4172999999999998,0.00086312201636333,292,437,73.125,19.375,iy437_ix292,5.510253283387274,True,True,True,2,2,True
Thāne,IN,19.19704,72.96355,1841488,0.1226549788237301,2.0904859998474308,1.4173,False,0.0084105762061177,0.0026785993876646,0.0124797601303733,0.0,True,True,1841488,23,0.1226549788237301,True,373.1346740722656,2495.0,2.0904859998474308,3.79749948385862,12.26549788237301,1.4173,0.35,0.6962,0.3283,0.134,0.7211,0.1943,0.22787742868701172,False,sub-material increase,14.173,1.4172999999999998,0.0008410576206117701,291,436,72.875,19.125,iy436_ix291,3.7974994838586196,True,True,True,2,2,True
Dombivali,IN,19.21667,73.08333,1247327,0.1242170029365362,3.8452735179675415,1.4173,False,0.0083292880236759,0.0026620227838969,0.0145805491083424,0.0,True,True,1247327,11,0.1242170029365362,True,411.0974426269531,2807.0,3.8452735179675415,3.538018292708381,12.42170029365362,1.4173,0.35,0.6714,0.3283,0.1536,0.7459,0.1747,0.2247228330713731,False,sub-material increase,14.173,1.4172999999999998,0.00083292880236759,292,436,73.125,19.125,iy436_ix292,3.538018292708381,True,True,True,2,2,True
Tokyo,JP,35.6895,139.69171,9733276,0.605276,5.432211795223964,1.5877,False,0.0083026372584477,0.0032484227166512,0.0144348148566394,0.0,True,True,9733276,44,0.605276,True,253.3000030517578,1432.0,5.432211795223964,7.757012464687056,60.52760000000001,1.5877,0.1807,1.4811,0.5728,0.6262,0.1066,-0.0534,0.190982890999505,False,sub-material increase,15.876999999999999,1.5877,0.0008302637258447701,558,502,139.625,35.625,iy502_ix558,7.757012464687056,True,True,True,1,1,True
Yangon,MM,16.80528,96.15611,4477638,0.2417016573252616,1.4038300144961229,0.949,True,0.0078525840287735,0.0005517502052593,0.0116225022491796,0.0705,True,True,4477638,30,0.2417016573252616,True,245.57081604003903,2441.0,1.4038300144961229,3.669843247406945,24.17016573252616,0.949,0.5266,-0.0137,-0.0579,-1.5484,0.9627,1.4905,0.4572328805930004,False,sub-material increase,9.49,0.949,0.00078525840287735,384,427,96.125,16.875,iy427_ix384,4.078001626900382,True,True,True,6,4,False
Tianjin,CN,39.14222,117.17667,11090314,0.117718599999321,3.112840466926116,1.0174,True,0.0073736357294239,0.0027019944033238,0.012359666617923,0.0,True,True,11090314,11,0.117718599999321,True,205.9684600830078,556.0,3.112840466926116,1.816541073776195,11.7718599999321,1.0174,0.1692,-0.7909,-0.4242,-1.0735,1.8083,0.6493,0.31645415467833393,False,sub-material increase,10.174000000000001,1.0174,0.0007373635729423899,468,516,117.125,39.125,iy516_ix468,46.59886225953735,False,True,True,7,5,True
Varanasi,IN,25.31668,83.01041,1164404,0.0641719299859855,26.092927443350906,1.7399,True,0.0064547441040125,0.0018980329960969,0.0116378114684587,0.0004999999999999,True,True,1164404,86,0.0641719299859855,True,230.3858337402344,1040.0,26.092927443350906,3.0783896695672963,6.417192998598551,1.7399,0.497,1.4191,-0.2026,-0.5522,0.3208,0.3496,0.12451900671508154,False,sub-material increase,17.399,1.7399,0.00064547441040125,332,461,83.125,25.375,iy461_ix332,592.5893601891714,False,False,False,8,2,True
Chattogram,BD,22.3384,91.83168,3920222,0.2789350093955502,1.724269474326718,0.7765,True,0.0063066447842901,-0.0012531086229764,0.0139683037844325,0.2004999999999999,False,False,3920222,15,0.2789350093955502,True,296.0547790527344,2959.0,1.724269474326718,1.1638933942429677,27.89350093955502,0.7765,0.6049,0.5834,-0.024,-1.0676,0.1931,1.0436,0.5749226779348066,False,sub-material increase,7.765,0.7765,0.00063066447842901,367,449,91.875,22.375,iy449_ix367,1.1638933942429677,True,True,True,9,2,False
