city_row_id,name,country,lat,lon,population,pga,wtd,tws_cm_yr,reversal,dP,dP_lo,dP_hi,p_two,ci_excl0,fdr_sig,pga_475_g,vs30,precip,dw_km,is_material_hotspot,ghsl_uc_id,ghsl_uc_name,ghsl_country_name,ghsl_area_km2,ghsl_pop_2025,ghsl_match_method,distance_to_ghsl_centroid_km,ghsl_matched
0,Yokohama,JP,35.43333,139.65,3777491,0.6621291,2.6398107881285,1.5877,False,0.0131823600667306,0.0052217653273863,0.0218943302879452,0.0,True,True,0.6621291,246.6999969482422,1671.0,1.834036104265288,True,5929.0,Tokyo,Japan,5165.0,33155906.87,within_polygon,0.0,True
1,Bhayandar,IN,19.30157,72.85107,809378,0.1212539,2.9297322041657594,1.4173,False,0.0117697302764608,0.0038161602561318,0.0205713226468663,0.0,True,True,0.1212539,243.01022338867188,2495.0,2.301836643909409,True,7599.0,Mumbai,India,738.0,20453270.03,within_polygon,0.0,True
2,Mumbai,IN,19.07283,72.88261,12691836,0.120297400125448,1.8768596932936816,1.4173,False,0.0108165938122896,0.0035724974761384,0.0143549539997001,0.0,True,True,0.120297400125448,232.39059448242188,2274.0,4.7052142468930125,True,7599.0,Mumbai,India,738.0,20453270.03,within_polygon,0.0,True
3,Dar es Salaam,TZ,-6.82349,39.26951,5383728,0.109765000000553,8.361943999389666,1.5505,False,0.0099400650158641,0.0038461988486549,0.0167379941406086,0.0,True,True,0.109765000000553,261.65869140625,1066.0,1.4221015900347755,False,3570.0,Dar es-Salaam,Tanzania,907.0,8918524.621,within_polygon,0.0,True
4,Surat,IN,21.19594,72.83023,4591246,0.09830952,8.25513084611282,1.4158,False,0.0096221809737705,0.0028024831768068,0.0167540588840118,0.0009999999999998,True,True,0.09830952,225.83724975585935,1070.0,2.0088310183989053,False,6913.0,Surat,India,296.0,7100723.104,within_polygon,0.0,True
5,Nashik,IN,19.99727,73.79096,1486053,0.07369488,4.516670481422182,2.633,False,0.009150408807873,0.0033004692981796,0.0160788281462742,0.0,True,True,0.07369488,408.8996276855469,1330.0,2.7022359147238024,False,8012.0,Nashik,India,192.0,1970969.903,within_polygon,0.0,True
6,Bhiwandi,IN,19.30023,73.05881,874032,0.125094701840259,3.2349126420996868,1.4173,False,0.0086312201636333,0.0028146479064968,0.0156682008848642,0.0,True,True,0.125094701840259,325.197265625,2807.0,5.510253283387274,False,7599.0,Mumbai,India,738.0,20453270.03,within_polygon,0.0,True
7,Thāne,IN,19.19704,72.96355,1841488,0.1226549788237301,2.0904859998474308,1.4173,False,0.0084105762061177,0.0026785993876646,0.0124797601303733,0.0,True,True,0.1226549788237301,373.1346740722656,2495.0,3.79749948385862,False,7599.0,Mumbai,India,738.0,20453270.03,within_polygon,0.0,True
8,Dombivali,IN,19.21667,73.08333,1247327,0.1242170029365362,3.8452735179675415,1.4173,False,0.0083292880236759,0.0026620227838969,0.0145805491083424,0.0,True,True,0.1242170029365362,411.0974426269531,2807.0,3.538018292708381,False,7739.0,Kalyan-Dombivli,India,175.0,3214860.965,within_polygon,0.0,True
9,Tokyo,JP,35.6895,139.69171,9733276,0.605276,5.432211795223964,1.5877,False,0.0083026372584477,0.0032484227166512,0.0144348148566394,0.0,True,True,0.605276,253.3000030517578,1432.0,7.757012464687056,False,5929.0,Tokyo,Japan,5165.0,33155906.87,within_polygon,0.0,True
10,Yangon,MM,16.80528,96.15611,4477638,0.2417016573252616,1.4038300144961229,0.949,True,0.0078525840287735,0.0005517502052593,0.0116225022491796,0.0705,True,True,0.2417016573252616,245.57081604003903,2441.0,3.669843247406945,False,5029.0,Yangon,Myanmar,545.0,6190957.71,within_polygon,0.0,True
11,Tianjin,CN,39.14222,117.17667,11090314,0.117718599999321,3.112840466926116,1.0174,True,0.0073736357294239,0.0027019944033238,0.012359666617923,0.0,True,True,0.117718599999321,205.9684600830078,556.0,1.816541073776195,False,9127.0,Tianjin,China,671.0,7330647.551,within_polygon,0.0,True
12,Varanasi,IN,25.31668,83.01041,1164404,0.0641719299859855,26.092927443350906,1.7399,True,0.0064547441040125,0.0018980329960969,0.0116378114684587,0.0004999999999999,True,True,0.0641719299859855,230.3858337402344,1040.0,3.0783896695672963,False,10008.0,Varanasi,India,381.0,3812495.5,within_polygon,0.0,True
