region_or_cluster,evidence_type,source,url_or_doi,period_or_window,local_status,direction_support_for_positive_hotspot,usable_in_main_claim,safe_text,city_or_region,access_status,direction,use_in_manuscript
JPL CRI-filtered GRACE/GRACE-FO,official product access/status,PO.DAAC/CMR,https://podaac.jpl.nasa.gov/dataset/TELLUS_GRAC-GRFO_MASCON_CRI_GRID_RL06.3_V4,2002-04-16 to 2026-03-16,auth_blocked,not evaluated,No; authentication boundary unless local Earthdata credentials/file are supplied.,JPL CRI-filtered validation remains Earthdata-authentication blocked; no JPL-based robustness claim is made.,,,,
Yokohama / Tokyo Bay,official municipal groundwater-level monitoring records,"Yokohama City monitoring PDFs, parsed in R24",https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kankyohozen/kansoku/science/data/chikasuii-jiban.html,2015/04-2025/03,parsed 3781 monthly records; 23 trend-qualified wells,supports positive sign: 20/23 rising; median 0.042 m yr-1,"Yes, as local sign support for Yokohama; not as product-materiality proof.","Yokohama municipal wells mostly rose over the GRACE-comparable window, strengthening the local sign support while retaining coastal/product guardrails.",,,,
Mumbai-Bhayandar cluster,peer-reviewed local station groundwater-depth study,"Long-term trends of groundwater level variations in response to local level land use land cover changes in Mumbai, India",https://doi.org/10.1016/j.gsd.2022.100797,1991-2018 LULC; local groundwater station series with at least 11 years completeness threshold,verified_crossref,does not support positive-recovery attribution; reports increasing groundwater depths and strongest depletion near northern Dahisar.,"Yes, as a guardrail/contradictory local-evidence item; not as validation of Mumbai-Bhayandar positive CSR materiality.","Mumbai-Bhayandar remains candidate-only because nearby Mumbai station evidence emphasizes depletion, especially northern interior Dahisar.",,,,
Mumbai-Bhayandar cluster,official monitoring-system source,CGWB Ground Water Level Monitoring page and Greater Mumbai report,https://www.cgwb.gov.in/ground-water-level-monitoring ; https://www.cgwb.gov.in/sites/default/files/2022-10/greater_mumbai.pdf,CGWB national seasonal monitoring data 1994-2024; Greater Mumbai district report older baseline,official source verified by web search; direct PDF download failed locally due TLS/Privoxy boundary,not a positive-trend validation in this run,Use only as source/provenance context unless the raw CGWB PDFs/data are successfully downloaded and parsed.,"CGWB confirms regional monitoring infrastructure, but R24 did not extract a Bhayandar station trend from official raw files.",,,,
India urban groundwater context,"recent open-access context, not used for hotspot validation",Decoding urban groundwater trends in India: Climatic insights and XGBoost-Based modeling,https://doi.org/10.1016/j.acags.2026.100343,1996-2023 station-data modelling context,verified_crossref,not used,No; retained as a candidate contextual source only.,Not used for the hotspot claim without deeper ingestion.,,,,
,official_2024_excel_representative_wells,https://www.env.go.jp/content/000386723.xlsx,,,,,,all four representative confined wells rise over the 10-year official series,Tokyo Bay / Yokohama,downloaded_or_parsed,rise,directional sign support only; no GRACE recalibration
,tokyo_open_data_table5_2016,https://catalog.data.metro.tokyo.lg.jp/dataset/t000014d1700000013,,,,,,official downloadable well table confirms a broad positive annual sign in the archived open-data year,Tokyo Bay / Yokohama,downloaded_or_parsed,rise,directional sign support only; no GRACE recalibration
,tokyo_official_pdf_table5_2022,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298,,,,,,"PDF-extracted official well table supports positive annual changes, but row parsing is treated as an audit summary",Tokyo Bay / Yokohama,downloaded_or_parsed,rise,directional sign support only; no GRACE recalibration
,ministry_2024_regional_summary,https://www.env.go.jp/water/jiban/directory/13kantouminami.html,,,,,,regional official summary reports 79 of 91 confined observation wells rising,Tokyo Bay / Yokohama,downloaded_or_parsed,rise,directional sign support only; no GRACE recalibration
,official_raw_source_retry,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/1703237300342091479file.pdf; https://www.cgwb.gov.in/ground-water-level-monitoring; https://www.cgwb.gov.in/sites/default/files/2022-10/greater_mumbai.pdf,,,,,,CGWB official endpoints were retried with and without local proxy; no Bhayandar positive well trend was extracted.,Mumbai-Bhayandar,not_downloaded,not_validated_positive,candidate-only boundary
,Crossref,https://api.crossref.org/works/10.1016/j.gsd.2022.100797,,,,,,"Use as a guardrail: station-level Mumbai evidence supports depletion or increasing depth, not a Bhayandar-positive local validation.",Mumbai-Bhayandar,verified,contradicts positive-recovery attribution,guardrail against positive-recovery attribution
,AGRIS metadata page,https://agris.fao.org/search/es/records/65df7da10f3e94b9e5d91b03,,,,,,Metadata page was reachable; abstract snippets support using this source as a local guardrail only.,Mumbai-Bhayandar,reachable,contradicts positive-recovery attribution,guardrail against positive-recovery attribution
