name,country,lat,lon,population,pga_475_g,vs30,wtd,dw_km,P0,recent_trend_cm_yr,dP,dP_lo,dP_hi,fdr_sig,soft_soil_proxy_vs30_le_360,shallow_wtd_proxy_le_10m,near_water_proxy_le_5km,high_shaking_proxy_pga_ge_0p2g,susceptibility_proxy_count,screening_tier,policy_action,direction,population_million,population_weighted_abs_dP
Yokohama,JP,35.43333,139.65,3777491,0.6621291,246.6999969482422,2.6398107881285,1.834036104265288,0.5189420934283357,1.5877,0.0131823600667306,0.0052217653273863,0.0218943302879452,True,True,True,True,True,4,A material hotspot,Screen recharge or recovery plans for liquefaction sensitivity,material increase,3.777491,0.049796246510834245
Bhayandar,IN,19.30157,72.85107,809378,0.1212539,243.01022338867188,2.9297322041657594,2.301836643909409,0.469437365737197,1.4173,0.0117697302764608,0.0038161602561318,0.0205713226468663,True,True,True,True,False,3,A material hotspot,Screen recharge or recovery plans for liquefaction sensitivity,material increase,0.809378,0.00952616075170129
Mumbai,IN,19.07283,72.88261,12691836,0.120297400125448,232.39059448242188,1.8768596932936816,4.7052142468930125,0.3503606350471797,1.4173,0.0108165938122896,0.0035724974761384,0.0143549539997001,True,True,True,True,False,3,A material hotspot,Screen recharge or recovery plans for liquefaction sensitivity,material increase,12.691836,0.13728243474419438
Delhi,IN,28.65195,77.23149,11034555,0.2294909887507435,298.2158508300781,15.228503852903032,1.5667268818351607,0.1805143404350351,-2.3689,-0.0113766608006131,-0.0215404015330639,-0.0021241040234326,True,True,False,True,True,3,A material hotspot,Assess depletion jointly with subsidence and water-security loss,material decrease,11.034555,0.1255363893207093
Lahore,PK,31.558,74.35071,13004135,0.177375700015881,233.4724578857422,8.545052262150023,6.46833835525657,0.1170946389600576,-4.3053,-0.0140276495434888,-0.0226527665302359,-0.0058761489671956,True,True,True,False,False,2,A material hotspot,Assess depletion jointly with subsidence and water-security loss,material decrease,13.004135,0.18241744839621674
Ludhiana,IN,30.91204,75.85379,1618879,0.2378727929457269,233.46356201171875,10.421911955443704,9.737568862437088,0.0715854976929828,-7.7419,-0.0153533212038833,-0.0237705878345954,-0.0066860327121801,True,True,False,False,True,2,A material hotspot,Assess depletion jointly with subsidence and water-security loss,material decrease,1.618879,0.02485516927722139
Dar es Salaam,TZ,-6.82349,39.26951,5383728,0.109765000000553,261.65869140625,8.361943999389666,1.4221015900347755,0.2553153425850038,1.5505,0.0099400650158641,0.0038461988486549,0.0167379941406086,True,True,True,True,False,3,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,5.383728,0.05351460634772799
Surat,IN,21.19594,72.83023,4591246,0.09830952,225.8372497558593,8.25513084611282,2.0088310183989053,0.2809631242668905,1.4158,0.0096221809737705,0.0028024831768068,0.0167540588840118,True,True,True,True,False,3,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,4.591246,0.044177799907099906
Nashik,IN,19.99727,73.79096,1486053,0.07369488,408.8996276855469,4.516670481422182,2.7022359147238024,0.1138604375994773,2.633,0.009150408807873,0.0033004692981796,0.0160788281462742,True,False,True,True,False,2,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.486053,0.013597992460166096
Bhiwandi,IN,19.30023,73.05881,874032,0.125094701840259,325.197265625,3.2349126420996868,5.510253283387274,0.236638649691125,1.4173,0.0086312201636333,0.0028146479064968,0.0156682008848642,True,True,True,False,False,2,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,0.874032,0.007543962622060741
Thāne,IN,19.19704,72.96355,1841488,0.1226549788237301,373.1346740722656,2.0904859998474308,3.79749948385862,0.2278774286870117,1.4173,0.0084105762061177,0.0026785993876646,0.0124797601303733,True,False,True,True,False,2,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.841488,0.015487975156651273
Dombivali,IN,19.21667,73.08333,1247327,0.1242170029365362,411.0974426269531,3.8452735179675415,3.538018292708381,0.2247228330713731,1.4173,0.0083292880236759,0.0026620227838969,0.0145805491083424,True,False,True,True,False,2,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.247327,0.01038934584270759
Tokyo,JP,35.6895,139.69171,9733276,0.605276,253.3000030517578,5.432211795223964,7.757012464687056,0.190982890999505,1.5877,0.0083026372584477,0.0032484227166512,0.0144348148566394,True,True,True,False,True,3,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,9.733276,0.0808118599643548
Yangon,MM,16.80528,96.15611,4477638,0.2417016573252616,245.57081604003903,1.4038300144961229,3.669843247406945,0.4572328805930004,0.949,0.0078525840287735,0.0005517502052593,0.0116225022491796,True,True,True,True,True,4,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,4.477638,0.03516102864542932
Tianjin,CN,39.14222,117.17667,11090314,0.117718599999321,205.9684600830078,3.112840466926116,1.816541073776195,0.3164541546783339,1.0174,0.0073736357294239,0.0027019944033238,0.012359666617923,True,True,True,True,False,3,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,11.090314,0.08177593556093009
Varanasi,IN,25.31668,83.01041,1164404,0.0641719299859855,230.3858337402344,26.092927443350906,3.0783896695672963,0.1245190067150815,1.7399,0.0064547441040125,0.0018980329960969,0.0116378114684587,True,True,False,True,False,2,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.164404,0.007515929853688571
Patna,IN,25.59408,85.13563,1684297,0.0921172673310556,236.1080780029297,4.257267109178315,5.362086505644111,0.1658498027441522,1.3047,0.0060981198108892,0.000864302642856,0.0121689895101161,True,True,True,False,False,2,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.684297,0.010271044903121246
Kanpur,IN,26.46523,80.34975,2823249,0.0874991899999999,227.27545166015625,13.42793926909286,2.583761393982147,0.2026506374537788,1.095,0.0059558101069985,0.000963818175543,0.0116741145169482,True,True,False,True,False,2,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,2.823249,0.01681473492877341
Barcelona,VE,10.1384,-64.68769,815141,0.1565541,220.5883636474609,5.95101853971164,4.488523015994694,0.2243551139995603,0.9569,0.0055937627238466,0.0010259838369734,0.0109662133452184,True,True,True,True,False,3,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,0.815141,0.0045597053404790415
Prayagraj,IN,25.44478,81.84322,1073438,0.0632544323089667,338.3668212890625,8.484016174563237,2.307411403210911,0.1178387672953683,1.5299,0.005399910094125,0.0015612575336032,0.0101051179925019,True,True,True,True,False,3,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.073438,0.005796468691617352
Kalyān,IN,19.2437,73.13554,1262255,0.1256955999999282,282.4262084960937,1.1749446860456487,9.468827724119528,0.1619724372746482,1.4173,0.0053812979642205,0.0020564889245797,0.0053812979642205,True,True,True,False,False,2,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.262255,0.006792570261827146
Makassar,ID,-5.14861,119.43194,1423877,0.06073681,202.3162536621093,0.6408789196613043,4.150668720810128,0.4703472617673802,0.6312,0.005239330970689,0.0017247287311472,0.0053197165084566,True,True,True,True,False,3,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.423877,0.007460162864551742
Luzhou,CN,28.8903,105.42575,998900,0.1971011047434862,260.203125,1.586938277256479,0.8434698243891883,0.3810304064247856,0.6356,0.0050042128246746,0.001002839819391,0.0097701316210069,True,True,True,True,False,3,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,0.9989,0.004998708190567459
Diyarbakır,TR,37.91363,40.21721,1833684,0.1193813,332.98101806640625,6.530861371786102,2.866205764274273,0.1158971347607523,-1.6686,-0.0055730278091667,-0.0098053716123281,-0.0017653521782096,True,True,True,True,False,3,B targeted regional monitoring,Assess depletion jointly with subsidence and water-security loss,sub-material decrease,1.833684,0.010219171925224032
Turin,IT,45.07049,7.68682,847287,0.114485601526381,310.64501953125,18.58548867017629,1.4599486990328332,0.1326629461536492,-1.5459,-0.0058121023331525,-0.009701945002112,-0.0021619729666763,True,True,False,True,False,2,B targeted regional monitoring,Assess depletion jointly with subsidence and water-security loss,sub-material decrease,0.847287,0.004924518749549783
Puebla,MX,19.04778,-98.20723,1692181,0.2727666710441241,329.80419921875,12.4208438239109,3.050559328384657,0.1405963415821477,-1.7035,-0.006715498408346,-0.0112416530416738,-0.0023980009057791,True,True,False,True,True,3,B targeted regional monitoring,Assess depletion jointly with subsidence and water-security loss,sub-material decrease,1.692181,0.01136383881213334
Seattle,US,47.60621,-122.33207,780995,0.3056356000013193,327.0,6.8513008316166975,1.0029095226957891,0.2586282815817057,-1.0623,-0.0067245943704312,-0.0120283033292774,-0.0017603242673745,True,True,True,True,True,4,B targeted regional monitoring,Assess depletion jointly with subsidence and water-security loss,sub-material decrease,0.780995,0.005251874580334915
Srinagar,IN,34.08565,74.80555,1206419,0.3927438,228.3923797607422,3.006027313649213,10.122732983789488,0.1030244217179187,-2.9142,-0.0086285932427188,-0.013873612663999,-0.0035178658510327,True,True,True,False,True,3,B targeted regional monitoring,Assess depletion jointly with subsidence and water-security loss,sub-material decrease,1.206419,0.010409698831287572
Faridabad,IN,28.41124,77.31316,1414050,0.2051115996711991,213.6325225830078,0.686655985351365,7.956696361421535,0.1475423603360455,-2.3689,-0.0096483135253369,-0.01813399919476,-0.0018341115807303,True,True,True,False,True,3,B targeted regional monitoring,Assess depletion jointly with subsidence and water-security loss,sub-material decrease,1.41405,0.013643197740502643
Ranchi,IN,23.34316,85.3094,1120374,0.1272203,324.3065490722656,3.2806897077897474,4.519244043659992,0.1518367422826408,1.1405,0.004955914891752,0.0007176902001159,0.0095665109793553,True,True,True,True,False,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.120374,0.005552478190931755
Ciudad Guayana,VE,8.35122,-62.64102,978202,0.0609216311130317,438.891357421875,24.00244144350347,3.3409581085302,0.0446043151604602,3.2946,0.004915952855939,0.0017313225857529,0.0086130693844601,True,False,False,True,False,1,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,0.978202,0.004808794915585241
Haikou,CN,20.03421,110.34651,2873358,0.0606846,320.0976867675781,1.4190890363927906,2.162402121684889,0.2253662420315492,0.8239,0.0048257107875001,0.0010604850959056,0.0083566162214119,True,True,True,True,False,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,2.873358,0.013865994696949713
Jing’an,CN,31.22,121.41583,936500,0.0507968402419307,226.0771942138672,4.104676890211351,0.870828709193776,0.3096699605681585,0.6576,0.0047006544213692,0.0013615147921282,0.0086019015606938,True,True,True,True,False,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,0.9365,0.004402162865612256
Vijayawada,IN,16.50745,80.6466,1143232,0.06847776,478.8851623535156,5.859464408331462,3.141960075467141,0.0604693150029867,2.3443,0.0045902708923863,0.0016284815563342,0.0078356205976431,True,False,True,True,False,2,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.143232,0.005247744572844574
Zhabei,CN,31.25861,121.45972,840000,0.0543976236497186,224.72799682617188,3.0365453574426056,1.8840728118856176,0.2809287858449564,0.6576,0.0044447278430762,0.0012136954300911,0.0078690591103459,True,True,True,True,False,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,0.84,0.0037335713881840077
Kaifeng,CN,34.7986,114.30742,1451741,0.0997951691928758,187.62701416015625,1.7700465400168357,11.03332152556843,0.0790101665866817,2.2778,0.0043969392064603,0.0018921885863275,0.0043969392064603,True,True,True,False,False,2,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.451741,0.006383216920525883
Qinhuangdao,CN,39.94104,119.58936,759718,0.1847800918294732,234.6234893798828,1.1596856641489808,4.0203159583287285,0.2269505878939417,0.7283,0.0042830898810408,0.0015137770350567,0.0068465577570488,True,True,True,True,False,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,0.759718,0.003253940478244554
Nagoya,JP,35.18147,136.90641,2332176,0.4578695,156.6999969482422,12.802319371328338,10.286121018355862,0.2520813183052804,0.664,0.0041915709353172,0.0014601161438896,0.0073164946180869,True,True,False,False,True,2,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,2.332176,0.009775481137644326
Putuo,CN,31.251,121.3897,1239100,0.0503584899999993,217.3177490234375,2.1972991531243338,3.3595569007410666,0.2356938019343586,0.6576,0.003967574017243,0.0011085859492778,0.0072150865603816,True,True,True,True,False,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.2391,0.004916220964765802
Hanzhong,CN,33.07507,107.02214,1006557,0.1400477000011399,241.13682556152344,3.64690623331046,3.7579241939182646,0.2190058844460397,0.6823,0.003910982978689,0.0012029459282103,0.0067580173646172,True,True,True,True,False,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.006557,0.0039366272940802634
Benghazi,LY,32.11486,20.06859,757490,0.0783412446839008,238.5429229736328,6.332494087129021,3.9734942709756456,0.1283176445027822,0.9766,0.0036816993522627,0.0014337018513617,0.0062601803119683,True,True,True,True,False,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,0.75749,0.0027888504423454726
Accra,GH,5.55602,-0.1969,1963264,0.0840799599994307,338.271240234375,11.53582055390251,11.697926397713385,0.0189903692062647,5.4265,0.0036759540436972,0.001421571951441,0.0065256269737419,True,True,False,False,False,1,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.963264,0.007216868239645139
Jabalpur,IN,23.16697,79.95006,1081677,0.1361818,382.1177368164063,2.2583352407111192,7.089875175554792,0.0696129014617209,1.6226,0.0035819517574923,0.0010560839536029,0.0050311073545877,True,False,True,False,False,1,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.081677,0.0038745148311889986
Manila,PH,14.6042,120.9822,1600000,0.3303762000045073,222.3428497314453,2.838178072785581,2.868634674256883,0.5352704588103365,0.4215,0.0034897418002498,0.0006980618544253,0.0063995104776926,True,True,True,True,True,4,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.6,0.005583586880399681
Nanchong,CN,30.79508,106.08473,1858875,0.0702872509812431,285.2292175292969,21.637293049515563,1.6133376582818284,0.1355041951268771,0.8565,0.0033759501018316,0.0010048234267957,0.0061062500877847,True,True,False,True,False,2,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.858875,0.0062754692455422156
Linfen,CN,36.08889,111.51889,959198,0.1546868420043955,293.7706298828125,12.08514534218358,3.074087015091247,0.1252626239043494,0.9104,0.0033597281576323,0.0005740557914018,0.00663916967876,True,True,False,True,False,2,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,0.959198,0.003222644529344587
Jamshedpur,IN,22.80278,86.18545,1339438,0.1567997419895702,378.3258056640625,18.08194094758528,3.4616104711520226,0.0918417748652872,1.161,0.003275903248584,0.0005394679193755,0.006624209526085,True,False,False,True,False,1,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.339438,0.004387869295476856
Xuhui,CN,31.19594,121.44709,1109800,0.0507968402419307,231.6250457763672,3.31120775158314,4.619253362715052,0.169149714833768,0.6576,0.0030998488024287,0.000877337799885,0.0053684863250866,True,True,True,True,False,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.1098,0.003440212200935371
Maracaibo,VE,10.64232,-71.61089,1752602,0.09229294999185,600.0,6.042572671091818,0.4958092525614138,0.0717790091622781,1.3193,0.0029827278373295,0.0011005920738077,0.0051091500449268,True,False,True,True,False,2,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.752602,0.005227534773159357
Malingao,PH,7.16083,124.475,1121974,0.5545271999996771,208.9109344482422,0.3662165255207696,6.959409912321897,0.4150683750823353,0.3983,0.0029638183406366,0.0008033863604452,0.0029638183406366,True,True,True,False,True,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.121974,0.003325327118917409
Dalian,CN,38.91222,121.60222,4913879,0.0876957999990944,406.5933532714844,16.18982223239493,2.097084195587912,0.0675900577208251,1.3534,0.002896224481439,0.0010760466035981,0.0049673568670224,True,False,False,True,False,1,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,4.913879,0.01423169665862899
Budta,PH,7.20417,124.43972,1273715,0.5609091576962117,207.1705474853516,1.007095445182017,9.336091396501567,0.3195365565377467,0.3983,0.0028907748123359,0.0007181867105477,0.0053559100879757,True,True,True,False,True,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.273715,0.0036820232400944205
Mombasa,KE,-4.05466,39.66359,1208333,0.0996536100001263,238.92295837402344,18.50919356069278,2.087189820522016,0.1989880344847455,0.5269,0.0028114281985759,0.0011204678584026,0.004696259038271,True,True,False,True,False,2,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.208333,0.003397141469469813
Chennai,IN,13.08784,80.27847,4681087,0.08934973,253.99093627929688,8.041504539559014,1.7356817920194747,0.2607011320522958,0.4167,0.0026832935777019,0.0010730789082865,0.0045235594281931,True,True,True,True,False,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,4.681087,0.012560730683763854
Cartagena,CO,10.39817,-75.49328,914552,0.0708730299999999,275.66290283203125,10.849164568551204,3.375842669104645,0.1490912597771801,0.6294,0.0026785270490979,0.0004797008400966,0.0053139105911917,True,True,False,True,False,2,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,0.914552,0.002449652269806583
Virār,IN,19.45591,72.81136,1222390,0.1198278828077522,334.1005249023437,0.5951018539711868,5.855155470481908,0.1539720100433315,1.4173,0.0025991780956606,0.0019959944961017,0.0025991780956606,True,True,True,False,False,2,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.22239,0.003177209312354561
Ziyang,CN,30.12108,104.64811,905729,0.155723199999444,397.6422424316406,13.09224078736554,1.910309214687527,0.1200477239676342,0.7209,0.0025591202315673,0.0007583093051363,0.0045653707451619,True,False,False,True,False,1,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,0.905729,0.002317869408217219
Santo Domingo,DO,18.47186,-69.89232,2201941,0.4312265999999539,390.5118103027344,3.8147554741741487,0.9185420873771836,0.3070350909936708,0.3488,0.0024767920648013,0.0006809021030615,0.0046060444759537,True,False,True,True,True,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,2.201941,0.005453749995960639
Baoshan,CN,31.40845,121.48956,2265900,0.0563865307407588,330.9303894042969,3.418020904860043,3.0932227372328467,0.1281779072849716,0.6576,0.0024670626082674,0.0006762688745617,0.0044287847171819,True,True,True,True,False,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,2.2659,0.005590117164073101
Barranquilla,CO,10.96854,-74.78132,1206319,0.09359839,337.7365417480469,5.737392233157891,2.8900111171520977,0.1310547097035396,0.6294,0.0024053116310744,0.0004476608619669,0.0046132093407682,True,True,True,True,False,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.206319,0.002901573121486039
Cebu City,PH,10.31672,123.89071,965332,0.3347104821106495,322.85845947265625,0.3356984817273769,2.9997171038362787,0.2835265651794575,0.9923,0.002276329626615,0.002276329626615,0.002276329626615,True,True,True,True,True,4,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,0.965332,0.002197413831119511
Seoul,KR,37.566,126.9784,10349312,0.1291627050768389,339.9872131347656,9.628442816815491,4.389469306861391,0.1155377233384598,0.6391,0.0021926419501853,0.0007829412458853,0.0037572449414291,True,True,True,True,False,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,10.349312,0.02269233564675613
Weinan,CN,34.50355,109.50891,1199290,0.1088599,271.04229736328125,1.1139085984588633,3.928875819636614,0.1576864338909852,0.4515,0.002007256314618,0.000599620429505,0.0036432630126096,True,True,True,True,False,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.19929,0.0024072824255582208
Alexandria,EG,31.20176,29.91582,5263542,0.106489699999422,223.88836669921875,6.28671702143896,1.4910171735848954,0.2299702968344735,0.331,0.0019576794418436,0.0005205754538679,0.0035887035945086,True,True,True,True,False,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,5.263542,0.010304327964680346
Sapporo,JP,43.06667,141.35,1973832,0.1806720360283885,164.8000030517578,0.9918364232852924,12.62179004769341,0.1197325813076629,0.5472,0.001933859674291,0.0004334499423983,0.003525010037273,True,True,True,False,False,2,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.973832,0.003817114108625153
Nantong,CN,32.03028,120.87472,2273326,0.0583333852838798,215.8314666748047,3.006027313649213,5.051191452121848,0.1827601729327332,0.3838,0.0019166321843848,0.0001011155867964,0.0040727350437453,True,True,True,False,False,2,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,2.273326,0.00435712977719876
Auckland,NZ,-36.84853,174.76349,1547200,0.1584837125632816,421.1944580078125,27.13054093232625,0.6990959187734161,0.101268245898653,0.6243,0.0019078322068631,0.0006904732473526,0.0032412682258164,True,False,False,True,False,1,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.5472,0.002951797990458588
Xianyang,CN,34.33778,108.70261,1034081,0.0907892488942864,288.21337890625,3.0365453574426056,3.281209554576678,0.1452936253862427,0.4512,0.0018758121915692,0.0006174797351954,0.0033192355079055,True,True,True,True,False,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.034081,0.0019397417468700702
Hamamatsu,JP,34.7,137.73333,791707,0.7980442000000426,282.1000061035156,0.2441443503471987,5.597182522288186,0.3491192316542594,0.2575,0.0018496808038376,0.0005196211928647,0.0018496808038376,True,True,True,False,True,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,0.791707,0.001464405240163855
Karachi,PK,24.8608,67.0104,11624219,0.2104098999919154,214.9311370849609,11.779964904249653,4.867763345184103,0.1435331805189991,0.44,0.0018106153343679,0.0004986582433334,0.0032892303975454,True,True,False,True,True,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,11.624219,0.021046989171450696
Shanghai,CN,31.22222,121.45806,24874500,0.05296031,228.847396850586,0.2899214160372594,3.107094983087166,0.2416987034188102,0.6576,0.0017738693845824,0.0011479908468059,0.0017738693845824,True,True,True,True,False,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,24.8745,0.04412411400679491
Tainan,TW,22.99083,120.21333,1856642,0.6576578501474174,208.4755249023437,4.486152437628789,5.071396979016769,0.4951055488073359,0.1935,0.001610778367505,0.0003473925302693,0.0031410837688323,True,True,True,False,True,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.856642,0.002990638769801218
Kitakyushu,JP,33.85181,130.85034,940978,0.2292976253441503,391.7000122070313,0.4882887006943406,5.658078522498746,0.1356510418815042,0.407,0.0015969601989614,0.0003990257258993,0.0019178033808634,True,False,True,False,True,2,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,0.940978,0.0015027044140983002
Lanzhou,CN,36.05701,103.83987,3000000,0.0837336089308837,243.3724822998047,17.456321049820758,3.397202569436719,0.106565346687678,0.4924,0.0015712382400322,0.0005254058927755,0.0026973148455408,True,True,False,True,False,2,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,3.0,0.0047137147200966
Hiroshima,JP,34.4,132.45,1200754,0.350937245802441,207.5,0.6408789196613043,5.409366507511519,0.4147114489219935,0.1934,0.0015640616549372,0.0002325757333331,0.0031389375482984,True,True,True,False,True,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.200754,0.0018780532884124627
Neijiang,CN,29.58354,105.06216,1251095,0.2026418999999999,394.89263916015625,41.30617227435727,2.451926539738705,0.0494244737783714,0.9115,0.0014456937895842,0.0004341375853454,0.0025665249670705,True,False,False,True,True,2,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.251095,0.0018087002716798447
Santiago de los Caballeros,DO,19.45036,-70.69085,1200000,0.5522715806493135,349.0228271484375,18.02090485999849,1.893056959046609,0.191695307122232,0.2709,0.0014016720464758,0.0002620946555143,0.0027149906755611,True,True,False,True,True,3,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.2,0.00168200645577096
Port-au-Prince,HT,18.54349,-72.33881,1234742,0.412546161369622,422.4088745117188,10.833905546654478,0.8166687863346503,0.1923156002357485,0.2663,0.0013811960865968,0.0003490050206672,0.0025979786018036,True,False,False,True,True,2,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,sub-material increase,1.234742,0.001705420818356706
