block_type,block_id,n_cities,city_names,p_simes_zero_aware,population_weighted_delta_p,median_delta_p,n_material_hotspots_zero_aware,material_point_names_zero_aware,n_fdr_sig_cities_zero_aware,block_fdr_bh_zero_aware,block_fdr_by_zero_aware,block_q_bh_zero_aware,block_q_by_zero_aware
csr_grid_cell,iy436_ix291,2,Mumbai; Thāne,0.000249937515621,0.010511732202546758,0.00961358500920365,1,Mumbai,2,True,True,0.0006508113231429934,0.004277407606151677
csr_grid_cell,iy437_ix291,2,Virār; Bhayandar,0.000249937515621,0.006252372349626458,0.0071844541860607,1,Bhayandar,2,True,True,0.0006508113231429934,0.004277407606151677
csr_grid_cell,iy474_ix308,2,Delhi; Rohini,0.0185,-0.010779379543909704,-0.0072461987318179506,1,Delhi,2,True,False,0.030403688524590165,0.19982591563111854
csr_grid_cell,iy483_ix303,1,Ludhiana,0.000249937515621,-0.0153533212038833,-0.0153533212038833,1,Ludhiana,1,True,True,0.0006508113231429934,0.004277407606151677
csr_grid_cell,iy486_ix297,1,Lahore,0.000249937515621,-0.0140276495434888,-0.0140276495434888,1,Lahore,1,True,True,0.0006508113231429934,0.004277407606151677
csr_grid_cell,iy501_ix558,1,Yokohama,0.000249937515621,0.0131823600667306,0.0131823600667306,1,Yokohama,1,True,True,0.0006508113231429934,0.004277407606151677
csr_grid_cell,iy212_ix699,1,Auckland,0.000249937515621,0.0019078322068631,0.0019078322068631,0,,1,True,True,0.0006508113231429934,0.004277407606151677
csr_grid_cell,iy226_ix1157,1,Santiago,0.0065,-8.392798256101334e-09,-8.392798256101334e-09,0,,1,True,True,0.012123255813953489,0.07967917088396077
csr_grid_cell,iy234_ix1183,1,Córdoba,0.000249937515621,-1.090670243149346e-09,-1.090670243149346e-09,0,,1,True,True,0.0006508113231429934,0.004277407606151677
csr_grid_cell,iy254_ix111,1,Soweto,0.000249937515621,1.1792560651695025e-07,1.1792560651695025e-07,0,,1,True,True,0.0006508113231429934,0.004277407606151677
csr_grid_cell,iy255_ix112,1,Johannesburg,0.000249937515621,1.8602399924541268e-08,1.8602399924541268e-08,0,,1,True,True,0.0006508113231429934,0.004277407606151677
csr_grid_cell,iy288_ix1187,1,Santa Cruz de la Sierra,0.000249937515621,-4.5691481460386255e-06,-4.5691481460386255e-06,0,,1,True,True,0.0006508113231429934,0.004277407606151677
csr_grid_cell,iy290_ix1175,1,Cochabamba,0.000249937515621,-0.0001074989858086,-0.0001074989858086,0,,1,True,True,0.0006508113231429934,0.004277407606151677
