name,country,lat,lon,population,population_million,P0,dP,dP_lo,dP_hi,p_two_zero_aware,zero_exact_dP,fdr_bh_zero_aware,fdr_by_zero_aware,material_bh_zero_aware,material_by_zero_aware,static_counterfactual_tier,observed_tier_bh,observed_tier_by,direction_side,ab_followup_bh,ab_followup_by,detectable_update_bh,detectable_update_by,screening_tier,policy_action,susceptibility_proxy_count
Yokohama,JP,35.43333,139.65,3777491,3.777491,0.5189420934283357,0.0131823600667306,0.0052217653273863,0.0218943302879452,0.000249937515621,False,True,True,True,True,D static-routine baseline,A material adjustment,A material adjustment,increase-side,True,True,True,True,A material hotspot,Screen recharge or recovery plans for liquefaction sensitivity,4
Bhayandar,IN,19.30157,72.85107,809378,0.809378,0.469437365737197,0.0117697302764608,0.0038161602561318,0.0205713226468663,0.000249937515621,False,True,True,True,True,D static-routine baseline,A material adjustment,A material adjustment,increase-side,True,True,True,True,A material hotspot,Screen recharge or recovery plans for liquefaction sensitivity,3
Mumbai,IN,19.07283,72.88261,12691836,12.691836,0.3503606350471797,0.0108165938122896,0.0035724974761384,0.0143549539997001,0.000249937515621,False,True,True,True,True,D static-routine baseline,A material adjustment,A material adjustment,increase-side,True,True,True,True,A material hotspot,Screen recharge or recovery plans for liquefaction sensitivity,3
Delhi,IN,28.65195,77.23149,11034555,11.034555,0.1805143404350351,-0.0113766608006131,-0.0215404015330639,-0.0021241040234326,0.0175,False,True,False,True,False,D static-routine baseline,A material adjustment,D static-routine baseline,depletion-side,True,False,True,False,A material hotspot,Assess depletion jointly with subsidence and water-security loss,3
Lahore,PK,31.558,74.35071,13004135,13.004135,0.1170946389600576,-0.0140276495434888,-0.0226527665302359,-0.0058761489671956,0.000249937515621,False,True,True,True,True,D static-routine baseline,A material adjustment,A material adjustment,depletion-side,True,True,True,True,A material hotspot,Assess depletion jointly with subsidence and water-security loss,2
Ludhiana,IN,30.91204,75.85379,1618879,1.618879,0.0715854976929828,-0.0153533212038833,-0.0237705878345954,-0.0066860327121801,0.000249937515621,False,True,True,True,True,D static-routine baseline,A material adjustment,A material adjustment,depletion-side,True,True,True,True,A material hotspot,Assess depletion jointly with subsidence and water-security loss,2
Dar es Salaam,TZ,-6.82349,39.26951,5383728,5.383728,0.2553153425850038,0.0099400650158641,0.0038461988486549,0.0167379941406086,0.000249937515621,False,True,True,False,False,D static-routine baseline,B targeted follow-up,B targeted follow-up,increase-side,True,True,True,True,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,3
Surat,IN,21.19594,72.83023,4591246,4.591246,0.2809631242668905,0.0096221809737705,0.0028024831768068,0.0167540588840118,0.0009999999999998,False,True,True,False,False,D static-routine baseline,B targeted follow-up,B targeted follow-up,increase-side,True,True,True,True,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,3
Nashik,IN,19.99727,73.79096,1486053,1.486053,0.1138604375994773,0.009150408807873,0.0033004692981796,0.0160788281462742,0.000249937515621,False,True,True,False,False,D static-routine baseline,B targeted follow-up,B targeted follow-up,increase-side,True,True,True,True,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,2
Bhiwandi,IN,19.30023,73.05881,874032,0.874032,0.236638649691125,0.0086312201636333,0.0028146479064968,0.0156682008848642,0.000249937515621,False,True,True,False,False,D static-routine baseline,B targeted follow-up,B targeted follow-up,increase-side,True,True,True,True,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,2
Thāne,IN,19.19704,72.96355,1841488,1.841488,0.2278774286870117,0.0084105762061177,0.0026785993876646,0.0124797601303733,0.000249937515621,False,True,True,False,False,D static-routine baseline,B targeted follow-up,B targeted follow-up,increase-side,True,True,True,True,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,2
Dombivali,IN,19.21667,73.08333,1247327,1.247327,0.2247228330713731,0.0083292880236759,0.0026620227838969,0.0145805491083424,0.000249937515621,False,True,True,False,False,D static-routine baseline,B targeted follow-up,B targeted follow-up,increase-side,True,True,True,True,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,2
Tokyo,JP,35.6895,139.69171,9733276,9.733276,0.190982890999505,0.0083026372584477,0.0032484227166512,0.0144348148566394,0.000249937515621,False,True,True,False,False,D static-routine baseline,B targeted follow-up,B targeted follow-up,increase-side,True,True,True,True,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,3
Tianjin,CN,39.14222,117.17667,11090314,11.090314,0.3164541546783339,0.0073736357294239,0.0027019944033238,0.012359666617923,0.000249937515621,False,True,True,False,False,D static-routine baseline,B targeted follow-up,B targeted follow-up,increase-side,True,True,True,True,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,3
Varanasi,IN,25.31668,83.01041,1164404,1.164404,0.1245190067150815,0.0064547441040125,0.0018980329960969,0.0116378114684587,0.0004999999999999,False,True,True,False,False,D static-routine baseline,B targeted follow-up,B targeted follow-up,increase-side,True,True,True,True,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,2
Patna,IN,25.59408,85.13563,1684297,1.684297,0.1658498027441522,0.0060981198108892,0.000864302642856,0.0121689895101161,0.0304999999999999,False,True,False,False,False,D static-routine baseline,B targeted follow-up,D static-routine baseline,increase-side,True,False,True,False,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,2
Kanpur,IN,26.46523,80.34975,2823249,2.823249,0.2026506374537788,0.0059558101069985,0.000963818175543,0.0116741145169482,0.0264999999999999,False,True,False,False,False,D static-routine baseline,B targeted follow-up,D static-routine baseline,increase-side,True,False,True,False,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,2
Barcelona,VE,10.1384,-64.68769,815141,0.815141,0.2243551139995603,0.0055937627238466,0.0010259838369734,0.0109662133452184,0.0215,False,True,False,False,False,D static-routine baseline,B targeted follow-up,D static-routine baseline,increase-side,True,False,True,False,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,3
Prayagraj,IN,25.44478,81.84322,1073438,1.073438,0.1178387672953683,0.005399910094125,0.0015612575336032,0.0101051179925019,0.002,False,True,True,False,False,D static-routine baseline,B targeted follow-up,B targeted follow-up,increase-side,True,True,True,True,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,3
Kalyān,IN,19.2437,73.13554,1262255,1.262255,0.1619724372746482,0.0053812979642205,0.0020564889245797,0.0053812979642205,0.0004999999999999,False,True,True,False,False,D static-routine baseline,B targeted follow-up,B targeted follow-up,increase-side,True,True,True,True,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,2
Makassar,ID,-5.14861,119.43194,1423877,1.423877,0.4703472617673802,0.005239330970689,0.0017247287311472,0.0053197165084566,0.000249937515621,False,True,True,False,False,D static-routine baseline,B targeted follow-up,B targeted follow-up,increase-side,True,True,True,True,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,3
Luzhou,CN,28.8903,105.42575,998900,0.9989,0.3810304064247856,0.0050042128246746,0.001002839819391,0.0097701316210069,0.0169999999999999,False,True,False,False,False,D static-routine baseline,B targeted follow-up,D static-routine baseline,increase-side,True,False,True,False,B targeted regional monitoring,Screen recharge or recovery plans for liquefaction sensitivity,3
Diyarbakır,TR,37.91363,40.21721,1833684,1.833684,0.1158971347607523,-0.0055730278091667,-0.0098053716123281,-0.0017653521782096,0.000249937515621,False,True,True,False,False,D static-routine baseline,B targeted follow-up,B targeted follow-up,depletion-side,True,True,True,True,B targeted regional monitoring,Assess depletion jointly with subsidence and water-security loss,3
Turin,IT,45.07049,7.68682,847287,0.847287,0.1326629461536492,-0.0058121023331525,-0.009701945002112,-0.0021619729666763,0.000249937515621,False,True,True,False,False,D static-routine baseline,B targeted follow-up,B targeted follow-up,depletion-side,True,True,True,True,B targeted regional monitoring,Assess depletion jointly with subsidence and water-security loss,2
Puebla,MX,19.04778,-98.20723,1692181,1.692181,0.1405963415821477,-0.006715498408346,-0.0112416530416738,-0.0023980009057791,0.000249937515621,False,True,True,False,False,D static-routine baseline,B targeted follow-up,B targeted follow-up,depletion-side,True,True,True,True,B targeted regional monitoring,Assess depletion jointly with subsidence and water-security loss,3
