metric,value
n_cities,444
material_threshold_abs_delta_p,0.01
targeted_threshold_abs_delta_p,0.005
raw_abs_delta_p_ge_0p01_count,6
raw_abs_delta_p_ge_0p01_fraction,0.013513513513513514
zero_aware_fdr_and_abs_delta_p_ge_0p01_count,6
zero_aware_fdr_and_abs_delta_p_ge_0p01_fraction,0.013513513513513514
raw_abs_delta_p_ge_0p005_count,33
static_counterfactual_ab_followup_count,28
static_counterfactual_ab_followup_fraction,0.06306306306306306
abs_delta_p_0p01_percentile_rank_all_cities,0.9864864864864865
abs_delta_p_0p01_percentile_rank_fdr_detectable_cities,0.9807073954983923
interpretation,"|Delta P_liq| >= 0.01 is a top-tail follow-up reporting increment inside this model, not an engineering safety or damage threshold."
abs_delta_p_all_cities_q500,0.00011829495659655
abs_delta_p_all_cities_q750,0.001459949699396625
abs_delta_p_all_cities_q900,0.0039505967056768
abs_delta_p_all_cities_q950,0.005934253940921595
abs_delta_p_all_cities_q975,0.00861224196497372
abs_delta_p_all_cities_q990,0.01113583199563399
abs_delta_p_all_cities_q1000,0.0153533212038833
water_table_rise_for_plus0p01_m_q500,14.540010690184376
water_table_rise_for_plus0p01_m_q750,179.01984142457994
water_table_rise_for_plus0p01_m_q900,276.891613000932
water_table_rise_for_plus0p01_m_q950,276.891613000932
water_table_rise_for_plus0p01_m_q975,276.891613000932
water_table_rise_for_plus0p01_m_q990,276.891613000932
water_table_rise_for_plus0p01_m_q1000,276.891613000932
