source_region,source_type,url,local_file,bytes,download_status
Yokohama / Tokyo Bay,official municipal monitoring PDF,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kankyohozen/kansoku/science/data/chikasuii-jiban.files/2025_chikasui_jiban_all_data.pdf,data_raw\local_groundwater_evidence\yokohama\2025_chikasui_jiban_all_data.pdf,1482824,exists
Yokohama / Tokyo Bay,official municipal monitoring PDF,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kankyohozen/kansoku/science/data/chikasuii-jiban.files/2025_kani_chikasui_all_data.pdf,data_raw\local_groundwater_evidence\yokohama\2025_kani_chikasui_all_data.pdf,877340,exists
Yokohama / Tokyo Bay,official municipal monitoring PDF,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kankyohozen/kansoku/science/data/chikasuii-jiban.files/2025_all_data.pdf,data_raw\local_groundwater_evidence\yokohama\2025_all_data.pdf,116232,exists
Yokohama / Tokyo Bay,official municipal monitoring PDF,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kankyohozen/kansoku/science/data/chikasuii-jiban.files/2006-2025_all_graff.pdf,data_raw\local_groundwater_evidence\yokohama\2006-2025_all_graff.pdf,1739494,exists
Yokohama / Tokyo Bay,official municipal monitoring PDF,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kankyohozen/kansoku/science/data/chikasuii-jiban.files/2024_all_kansokukekka_ichiran.pdf,data_raw\local_groundwater_evidence\yokohama\2024_all_kansokukekka_ichiran.pdf,1374773,exists
Yokohama / Tokyo Bay,official municipal monitoring PDF,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kankyohozen/kansoku/science/data/chikasuii-jiban.files/2023_all_kansokukekka_ichiran.pdf,data_raw\local_groundwater_evidence\yokohama\2023_all_kansokukekka_ichiran.pdf,1471335,exists
Yokohama / Tokyo Bay,official municipal monitoring PDF,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kankyohozen/kansoku/science/data/chikasuii-jiban.files/2022_all_kansokukekka_ichiran_R.pdf,data_raw\local_groundwater_evidence\yokohama\2022_all_kansokukekka_ichiran_R.pdf,1499185,exists
Yokohama / Tokyo Bay,official municipal monitoring PDF,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kankyohozen/kansoku/science/data/chikasuii-jiban.files/2021_all_kansokukekka_ichiran_R.pdf,data_raw\local_groundwater_evidence\yokohama\2021_all_kansokukekka_ichiran_R.pdf,1439572,exists
Yokohama / Tokyo Bay,official municipal monitoring PDF,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kankyohozen/kansoku/science/data/chikasuii-jiban.files/2020_all_kansokukekka_ichiran_R.pdf,data_raw\local_groundwater_evidence\yokohama\2020_all_kansokukekka_ichiran_R.pdf,1423092,exists
Yokohama / Tokyo Bay,official municipal monitoring PDF,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kankyohozen/kansoku/science/data/chikasuii-jiban.files/2019_all_kansokukekka_ichiran_R.pdf,data_raw\local_groundwater_evidence\yokohama\2019_all_kansokukekka_ichiran_R.pdf,1452186,exists
Yokohama / Tokyo Bay,official municipal monitoring PDF,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kankyohozen/kansoku/science/data/chikasuii-jiban.files/2018_all_kansokukekka_ichiran_R.pdf,data_raw\local_groundwater_evidence\yokohama\2018_all_kansokukekka_ichiran_R.pdf,1822904,exists
Yokohama / Tokyo Bay,official municipal monitoring PDF,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kankyohozen/kansoku/science/data/chikasuii-jiban.files/2017_all_kansokukekka_ichiran_R.pdf,data_raw\local_groundwater_evidence\yokohama\2017_all_kansokukekka_ichiran_R.pdf,1222228,exists
Yokohama / Tokyo Bay,official municipal monitoring PDF,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kankyohozen/kansoku/science/data/chikasuii-jiban.files/2010-2016_all_data.pdf,data_raw\local_groundwater_evidence\yokohama\2010-2016_all_data.pdf,486568,exists
Yokohama / Tokyo Bay,official municipal monitoring PDF,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kankyohozen/kansoku/science/data/chikasuii-jiban.files/2006-2009-all_data.pdf,data_raw\local_groundwater_evidence\yokohama\2006-2009-all_data.pdf,431195,exists
