name,country,lat,lon,population,aquifer_context_class,sy_low,sy_mid,sy_high,class_basis,dP_sy_low,dP_sy_mid,dP_sy_high,material_at_sy_low,material_at_sy_mid,material_at_sy_high,sy_material_threshold_0p03_0p25,direction,class_prior_use
Yokohama,JP,35.43333,139.65,3777491,coastal mixed/delta-reclaimed review,0.06,0.12,0.18,coastal mixed aquifer/reclamation/leakage review; not a local shallow-head calibration,0.021894330287945296,0.010987912867872929,0.007327969638177501,True,True,False,0.13186851271525948,increase,review-prior only; replace with local hydrogeology before engineering use
Bhayandar,IN,19.30157,72.85107,809378,coastal mixed/delta-reclaimed review,0.06,0.12,0.18,coastal mixed aquifer/reclamation/leakage review; not a local shallow-head calibration,0.01962863164894163,0.009806304960102319,0.006535383757692026,True,False,False,0.1176778486207835,increase,review-prior only; replace with local hydrogeology before engineering use
Mumbai,IN,19.07283,72.88261,12691836,coastal mixed/delta-reclaimed review,0.06,0.12,0.18,coastal mixed aquifer/reclamation/leakage review; not a local shallow-head calibration,0.01435495399970016,0.00900367105635197,0.005991057720597326,True,False,False,0.10811117529808202,increase,review-prior only; replace with local hydrogeology before engineering use
Dar es Salaam,TZ,-6.82349,39.26951,5383728,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.012463363033564823,0.006183724333362894,0.003946481064729002,True,False,False,0.0994079565980562,increase,review-prior only; replace with local hydrogeology before engineering use
Surat,IN,21.19594,72.83023,4591246,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.012057905792449641,0.005991107806504414,0.003825527693647135,True,False,False,0.09625940661945943,increase,review-prior only; replace with local hydrogeology before engineering use
Nashik,IN,19.99727,73.79096,1486053,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.016078828146274274,0.007582619048365782,0.004498669251049081,True,False,False,0.09178055128943617,increase,review-prior only; replace with local hydrogeology before engineering use
Bhiwandi,IN,19.30023,73.05881,874032,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.017472459907608706,0.007178041227226123,0.004289227411240548,True,False,False,0.08647689282322076,increase,review-prior only; replace with local hydrogeology before engineering use
Thāne,IN,19.19704,72.96355,1841488,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.01247976013037333,0.006994052419675129,0.004178699504002542,True,False,False,0.0843034878123549,increase,review-prior only; replace with local hydrogeology before engineering use
Dombivali,IN,19.21667,73.08333,1247327,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.01687109375839224,0.006926279001205904,0.0041379983804102904,True,False,False,0.08350317148023319,increase,review-prior only; replace with local hydrogeology before engineering use
Tokyo,JP,35.6895,139.69171,9733276,coastal mixed/delta-reclaimed review,0.06,0.12,0.18,coastal mixed aquifer/reclamation/leakage review; not a local shallow-head calibration,0.013986678104947026,0.006900266696356072,0.004579528285363149,True,False,False,0.0832950608494791,increase,review-prior only; replace with local hydrogeology before engineering use
Yangon,MM,16.80528,96.15611,4477638,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.009818591541813748,0.004905624695559219,0.003138704868775488,False,False,False,0.07855080347677375,increase,review-prior only; replace with local hydrogeology before engineering use
Tianjin,CN,39.14222,117.17667,11090314,semi-confined basin-fill recovery,0.05,0.1,0.15,managed basin-fill/recovery setting; use low-to-moderate unconfined-equivalent S_y review range,0.014835812200878928,0.007373635729423955,0.004905788037384784,True,False,False,0.07389378470199084,increase,review-prior only; replace with local hydrogeology before engineering use
Varanasi,IN,25.31668,83.01041,1164404,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.008112214129430473,0.004001550717982638,0.0025485139862127526,False,False,False,0.06529392468150233,increase,review-prior only; replace with local hydrogeology before engineering use
Chattogram,BD,22.3384,91.83168,3920222,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.007879250988867104,0.003944646703529231,0.00252570589119816,False,False,False,0.06298956474465302,increase,review-prior only; replace with local hydrogeology before engineering use
Patna,IN,25.59408,85.13563,1684297,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.012372554415679388,0.005069568614128467,0.0030271286639413364,True,False,False,0.06153168991201806,increase,review-prior only; replace with local hydrogeology before engineering use
Kanpur,IN,26.46523,80.34975,2823249,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.007464745813185375,0.003707396915849953,0.002366981430320325,False,False,False,0.05998471702831889,increase,review-prior only; replace with local hydrogeology before engineering use
Barcelona,VE,10.1384,-64.68769,815141,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.007007389104861206,0.003484704451400089,0.002225831574233672,False,False,False,0.05631435153368944,increase,review-prior only; replace with local hydrogeology before engineering use
Prayagraj,IN,25.44478,81.84322,1073438,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.006782708329897483,0.0033504520201723953,0.0021349303544468123,False,False,False,0.05486697763409641,increase,review-prior only; replace with local hydrogeology before engineering use
Kalyān,IN,19.2437,73.13554,1262255,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.005381297964220544,0.005381297964220544,0.0032287416533375857,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Makassar,ID,-5.14861,119.43194,1423877,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.0053197165084566955,0.003273889706070676,0.0020950133008946215,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Howrah,IN,22.57688,88.31857,1027672,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.006373444308932663,0.003180448219829546,0.0020340292394954718,False,False,False,0.05109959455091151,increase,review-prior only; replace with local hydrogeology before engineering use
Kolkata,IN,22.56263,88.36304,4631392,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.006370971746031073,0.0031792005198644224,0.0020332281025310373,False,False,False,0.051080140856100416,increase,review-prior only; replace with local hydrogeology before engineering use
Luzhou,CN,28.8903,105.42575,998900,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.0062590842405811364,0.0031247463394472597,0.0019987207267199714,False,False,False,0.0501623508184382,increase,review-prior only; replace with local hydrogeology before engineering use
Ranchi,IN,23.34316,85.3094,1120374,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.006215286441076495,0.003082189490326903,0.001966756421182436,False,False,False,0.05020813579770979,increase,review-prior only; replace with local hydrogeology before engineering use
Ciudad Guayana,VE,8.35122,-62.64102,978202,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.010342545090604068,0.004062367655312635,0.0023969127741571353,True,False,False,0.05155448538375854,increase,review-prior only; replace with local hydrogeology before engineering use
Haikou,CN,20.03421,110.34651,2873358,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.006043393317085005,0.00300762288589676,0.0019216334332365637,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Jing’an,CN,31.22,121.41583,936500,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.005881839348483853,0.002933377018423111,0.0018756151620709094,False,False,False,0.047220829868609385,increase,review-prior only; replace with local hydrogeology before engineering use
Vijayawada,IN,16.50745,80.6466,1143232,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.009503041498394815,0.003803325525088372,0.002255967122974545,False,False,False,0.047675733239757115,increase,review-prior only; replace with local hydrogeology before engineering use
Zhabei,CN,31.25861,121.45972,840000,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.005562487209720357,0.0027730103564497788,0.0017728237422225956,False,False,False,0.04470661620562564,increase,review-prior only; replace with local hydrogeology before engineering use
Kaifeng,CN,34.7986,114.30742,1451741,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.004396939206460337,0.004396939206460337,0.0028041725054993027,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Qinhuangdao,CN,39.94104,119.58936,759718,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.005362650268557229,0.0026703363713493633,0.0017064815186222937,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Nagoya,JP,35.18147,136.90641,2332176,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.008428562376281201,0.003489813619842297,0.0020900896364331456,False,False,False,0.04222617425003328,increase,review-prior only; replace with local hydrogeology before engineering use
Luohe,CN,33.57424,114.03261,1294974,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.005007255236904262,0.002496829951779189,0.0015964007420150583,False,False,False,0.040271325855067625,increase,review-prior only; replace with local hydrogeology before engineering use
Putuo,CN,31.251,121.3897,1239100,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.0049665831811360195,0.002474392832612915,0.001581559003480254,False,False,False,0.04001648475922976,increase,review-prior only; replace with local hydrogeology before engineering use
Hanzhong,CN,33.07507,107.02214,1006557,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.004896474564172304,0.002438553217739753,0.0015584419824054563,False,False,False,0.039489363354952754,increase,review-prior only; replace with local hydrogeology before engineering use
Benghazi,LY,32.11486,20.06859,757490,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.004616010884469335,0.002290677381744516,0.001462057032080577,False,False,False,0.03756049508950983,increase,review-prior only; replace with local hydrogeology before engineering use
Accra,GH,5.55602,-0.1969,1963264,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.008043851609047827,0.0030182879494943075,0.001758445000900808,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Jabalpur,IN,23.16697,79.95006,1081677,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.005031107354587741,0.002973390258194347,0.0017702382888002827,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
Manila,PH,14.6042,120.9822,1600000,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.0043615974619566344,0.0021815152196761334,0.0013963305100591628,False,False,False,0.03486105237070428,increase,review-prior only; replace with local hydrogeology before engineering use
Nanchong,CN,30.79508,106.08473,1858875,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.004230885389967826,0.0021017772928867695,0.001341999084961798,False,False,False,0.034430735979744505,increase,review-prior only; replace with local hydrogeology before engineering use
Linfen,CN,36.08889,111.51889,959198,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.004211574772039844,0.002090919301437788,0.0013347759170820872,False,False,False,0.03433192757509484,increase,review-prior only; replace with local hydrogeology before engineering use
Jamshedpur,IN,22.80278,86.18545,1339438,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.006655981442299286,0.0027227499562237217,0.0016250801004635135,False,False,False,0.03378731310507851,increase,review-prior only; replace with local hydrogeology before engineering use
Xuhui,CN,31.19594,121.44709,1109800,alluvial-delta floodplain proxy,0.08,0.16,0.25,low Vs30 and near-water proxy for unconsolidated alluvial/delta/floodplain context,0.003881805048573883,0.001932165353999038,0.0012345756244657446,False,False,False,0.03148695161360453,increase,review-prior only; replace with local hydrogeology before engineering use
Maracaibo,VE,10.64232,-71.61089,1752602,stiff/deep low-sensitivity control,0.03,0.06,0.1,"control class for stiff, deep-water or far-from-water settings; not used to expand claims",0.010389969459266443,0.005034083608169843,0.0029827278373295713,True,False,False,0.03110052903491209,increase,review-prior only; replace with local hydrogeology before engineering use
Malingao,PH,7.16083,124.475,1121974,mixed urban aquifer context,0.05,0.12,0.2,default review range when no stronger context proxy is available,0.002963818340636637,0.0026859720832422274,0.0016109882777503026,False,False,False,,increase,review-prior only; replace with local hydrogeology before engineering use
