city_row_id,name,country,lat,lon,population,pga,wtd,tws_cm_yr,dP,fdr_sig,gfz_grid_lat,gfz_grid_lon,gfz_nearest_finite_grid_distance_km,gfz_tws_cm_yr,gfz_tws_p,gfz_tws_n_months,gfz_leakage_corrected_tws_cm_yr,gfz_leakage_corrected_p,gfz_leakage_corrected_n_months,gfz_dP_sy010,gfz_leakage_corrected_dP_sy010,csr_sign,gfz_sign,gfz_leakage_corrected_sign,csr_gfz_sign_match,csr_gfz_leakage_corrected_sign_match,gfz_material_sy010,gfz_targeted_sy010,gfz_leakage_corrected_material_sy010,gfz_leakage_corrected_targeted_sy010
0,Yokohama,JP,35.43333,139.65,3777491,0.6621291,2.6398107881285,1.5877,0.0131823600667306,True,35.5,139.5,0.0,1.051378506493669,9.603496664444573e-15,100,0.9864803341780951,0.016199585253151905,100,0.008733480104552549,0.008194826087057905,1,1,1,True,True,False,True,False,True
1,Bhayandar,IN,19.30157,72.85107,809378,0.1212539,2.9297322041657594,1.4173,0.0117697302764608,True,19.5,73.5,71.5476643676065,2.173770589306053,5.890212955064635e-09,100,2.3992314309475344,7.002260748820509e-05,100,0.018061096994636094,0.019937052376315434,1,1,1,True,True,True,True,True,True
2,Mumbai,IN,19.07283,72.88261,12691836,0.120297400125448,1.8768596932936816,1.4173,0.0108165938122896,True,19.5,73.5,80.3425440615053,2.173770589306053,5.890212955064635e-09,100,2.3992314309475344,7.002260748820509e-05,100,0.01435495399970016,0.01435495399970016,1,1,1,True,True,True,True,True,True
3,Dar es Salaam,TZ,-6.82349,39.26951,5383728,0.109765000000553,8.361943999389666,1.5505,0.0099400650158641,True,-6.5,38.5,92.28660664260424,2.2136833102306683,5.583091105422115e-15,100,3.652453761233007,6.099048163585939e-09,100,0.014266378714862193,0.02380388675412415,1,1,1,True,True,True,True,True,True
4,Surat,IN,21.19594,72.83023,4591246,0.09830952,8.25513084611282,1.4158,0.0096221809737705,True,21.5,72.5,0.0,1.93389861466864,2.241691831634277e-06,100,2.287190463132637,0.0017160171403940918,100,0.013191551343825325,0.015640113485469398,1,1,1,True,True,True,True,True,True
5,Nashik,IN,19.99727,73.79096,1486053,0.07369488,4.516670481422182,2.633,0.009150408807873,True,19.5,73.5,0.0,2.173770589306053,5.890212955064635e-09,100,2.3992314309475344,7.002260748820509e-05,100,0.007510171811783817,0.008313085559027544,1,1,1,True,True,False,True,False,True
6,Bhiwandi,IN,19.30023,73.05881,874032,0.125094701840259,3.2349126420996868,1.4173,0.0086312201636333,True,19.5,73.5,0.0,2.173770589306053,5.890212955064635e-09,100,2.3992314309475344,7.002260748820509e-05,100,0.01332415804033693,0.01473438024536583,1,1,1,True,True,True,True,True,True
7,Thāne,IN,19.19704,72.96355,1841488,0.1226549788237301,2.0904859998474308,1.4173,0.0084105762061177,True,19.5,73.5,65.59315440122127,2.173770589306053,5.890212955064635e-09,100,2.3992314309475344,7.002260748820509e-05,100,0.01247976013037333,0.01247976013037333,1,1,1,True,True,True,True,True,True
8,Dombivali,IN,19.21667,73.08333,1247327,0.1242170029365362,3.8452735179675415,1.4173,0.0083292880236759,True,19.5,73.5,0.0,2.173770589306053,5.890212955064635e-09,100,2.3992314309475344,7.002260748820509e-05,100,0.012862044292373781,0.01422468101236507,1,1,1,True,True,True,True,True,True
9,Tokyo,JP,35.6895,139.69171,9733276,0.605276,5.432211795223964,1.5877,0.0083026372584477,True,35.5,139.5,0.0,1.051378506493669,9.603496664444573e-15,100,0.9864803341780951,0.016199585253151905,100,0.005468080173495843,0.005127155615132051,1,1,1,True,True,False,True,False,True
